Service,Type,Zero-Knowledge,Encryption,File Support,API,CLI,Self-Hosted,Docker,Kubernetes,Price (Hosted),GitHub Stars,MAU/Traffic,Business Model,Target Market,Key Differentiator
OneTimeSecret,OSS + SaaS,No,Server-side,No,Yes (v1+v2),Yes,Yes,Yes,No,Freemium (price not public),"Not captured","Not captured",Open-source first + Freemium,Enterprise,"Custom domains, geo-isolation, 15 languages"
PrivateBin,OSS Only,Yes,AES-256-GCM (client),Yes,No,No,Yes,Yes,Yes (Helm),Self-hosted only,High,"N/A (self-hosted)",Pure FOSS,Developers/Privacy,"True zero-knowledge pastebin, syntax highlighting"
Yopass,OSS + Optional Managed,Yes,OpenPGP (client),Yes (v8+),Not mentioned,Yes,Yes,Yes,Yes,Free (self-host) or $0.99+/mo managed,High,"Not captured",Open Source,DevOps/Developers,"Purpose-built for ticket/Slack, modern UI rewrite"
Password Pusher,OSS + SaaS,No,Server-side,Yes,Yes (REST),Yes,Yes,Yes,Yes,Freemium (Premium/Pro),2.7k,185k MAU,Feature pipeline model,Teams/Enterprise,"Team collaboration, 185K MAU, audit logs"
Snappass,OSS Only,No,Not specified,No,Yes (2 APIs),No,Yes,Yes,Yes (Helm),Self-hosted only,"Moderate","N/A (self-hosted)",Pinterest OSS,Developers,"Pinterest-backed, extremely simple Flask app"
Bitwarden Send,Commercial Feature,Yes,AES-256 E2EE,Yes,Yes (Bitwarden API),Yes (Bitwarden CLI),Yes (Bitwarden),Yes,Yes,Free (in Bitwarden),"High (Bitwarden)","Millions (Bitwarden users)",Freemium (part of password manager),All users,"Integrated with password manager, SOC2, multi-platform"
DELE.TO,OSS,Yes,AES-256-GCM (client),No,Not mentioned,No,Yes,Not mentioned,Not mentioned,Free,"Not captured","Not captured",Free/OSS,General users,"Modern Next.js UI, mobile-first"
Password.link,Hosted Service,Yes,AES-256-GCM (client),No,Not mentioned,No,Unknown,Unknown,Unknown,Free,"N/A","Not captured",Free service,General users,"View notifications"
scrt.link,Hosted Service,Yes,Client-side,No,Not mentioned,No,Unknown,Unknown,Unknown,Free,"N/A","Not captured",Free service,General users,"Key never stored emphasis"
Privnote,Hosted Service,Partial,E2E (key from note ID),No,Not mentioned,No,No (proprietary),No,No,Free,"N/A","Not captured",Free with options,General users,"Established service, notifications, 30-day limit"
1ty.me,Hosted Service,Yes,Encrypted (partial key in URL),No,Not mentioned,No,Unknown,Unknown,Unknown,Free,"N/A",73.5k visits,Free service,General users,"Short URLs, simple"
Saltify,Hosted Service,Yes,Modern ciphers,No (500 char limit),Not mentioned,No,Unknown,Unknown,Unknown,Free,"N/A","Not captured",Free service,Teams (Slack),"Slack integration, completely free"
ShareSecret,Commercial SaaS,Yes,AES-256 (keys not stored),Yes,Not mentioned,No,Unknown,Unknown,Unknown,Commercial (price not public),"N/A","Not captured",Enterprise SaaS,Enterprise,"SSO/SAML, Slack Guard, compliance focus"
Hemmelig,OSS + Hosted,Yes,TweetNaCl (client),Yes,Not mentioned,No,Yes,Yes,Not mentioned,Free (self-host) or hosted option,"Not captured","Not captured",OSS + Hosted option,Developers,"TweetNaCl encryption, Docker-friendly"
Cryptgeon,OSS Only,Yes,Client-side,Yes,Not mentioned,No,Yes,Not mentioned,Not mentioned,Self-hosted only,"Not captured","N/A (self-hosted)",Free OSS,Developers/Self-hosters,"Rust & Svelte, PrivNote-inspired"
Secret Pusher,Hosted Service,No,AES-256,No,Not mentioned,No,Unknown,Unknown,Unknown,Free,"N/A","Not captured",Free service,General users,"Simple focused tool"
